Make,Model,Year, price ,Engine Type,Horsepower,Torque,Fuel Economy,Body Style,Transmission,Drivetrain,Safety Ratings
BMW,X5,2019, 5259991 ,Diesel,355,336,25.6,Hatchback,Automatic,RWD,5 stars
BMW,X5,2021, 6833462 ,Diesel,310,338,28.2,Coupe,Manual,FWD,5 stars
BMW,X5,2023, 6494086 ,Diesel,337,346,25.2,Sedan,Manual,RWD,5 stars
BMW,X5,2023, 5634547 ,Diesel,314,328,29,SUV,Automatic,FWD,5 stars
BMW,X5,2018, 4984441 ,Diesel,339,357,24.5,Sedan,Automatic,FWD,5 stars
BMW,X5,2019, 6682701 ,Diesel,332,346,28.3,Hatchback,Manual,AWD,5 stars
BMW,X5,2023, 6943926 ,Diesel,319,299,25.9,Truck,Manual,RWD,5 stars
BMW,X5,2022, 6987044 ,Diesel,365,353,26,Sedan,Automatic,AWD,5 stars
BMW,X5,2016, 6948326 ,Diesel,325,352,26.4,Truck,Manual,AWD,5 stars
BMW,X5,2018, 6270098 ,Diesel,322,330,29.1,Coupe,Manual,RWD,5 stars
BMW,X5,2023, 6673423 ,Diesel,353,300,26.7,Sedan,Automatic,FWD,5 stars
BMW,X5,2020, 6572461 ,Diesel,334,354,26.7,Truck,Automatic,RWD,5 stars
BMW,X5,2016, 6176221 ,Diesel,307,361,27.6,Coupe,Automatic,AWD,5 stars
BMW,X5,2019, 5570922 ,Diesel,311,299,27.9,Hatchback,Automatic,AWD,5 stars
BMW,X5,2022, 5956596 ,Diesel,340,331,25.5,Sedan,Automatic,RWD,5 stars
BMW,X5,2023, 5720018 ,Diesel,324,339,25.2,Truck,Manual,FWD,5 stars
Ford,Mustang,2018, 2449933 ,Gasoline,419,388,23.3,SUV,Manual,AWD,5 stars
Ford,Mustang,2015, 243782 ,Gasoline,487,433,21,Sedan,Automatic,FWD,5 stars
Ford,Mustang,2022, 2677725 ,Gasoline,454,422,20.9,SUV,Manual,FWD,5 stars
Ford,Mustang,2018, 3008208 ,Gasoline,447,401,20.8,Coupe,Manual,RWD,5 stars
Ford,Mustang,2019, 2663052 ,Gasoline,435,415,23.7,SUV,Manual,FWD,5 stars
Ford,Mustang,2020, 2643342 ,Gasoline,480,383,20,Sedan,Automatic,AWD,5 stars
Ford,Mustang,2023, 2437513 ,Gasoline,452,418,22,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2022, 2610868 ,Gasoline,424,427,23.5,Hatchback,Manual,RWD,5 stars
Ford,Mustang,2020, 2990625 ,Gasoline,433,381,21.4,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2015, 2522216 ,Gasoline,488,445,20,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2015, 2215436 ,Gasoline,489,445,24.2,Sedan,Manual,RWD,5 stars
Ford,Mustang,2018, 3118847 ,Gasoline,405,426,19.9,Sedan,Manual,AWD,5 stars
Ford,Mustang,2018, 217945 ,Gasoline,480,403,22.9,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2023, 2284728 ,Gasoline,473,391,22.3,Truck,Manual,AWD,5 stars
Ford,Mustang,2015, 3175551 ,Gasoline,426,430,21.1,Truck,Manual,FWD,5 stars
Ford,Mustang,2017, 2659468 ,Gasoline,438,374,23.7,Truck,Manual,FWD,5 stars
Ford,Mustang,2023, 2835651 ,Gasoline,412,376,19.9,Truck,Manual,AWD,5 stars
Ford,Mustang,2017, 2548941 ,Gasoline,417,416,21,Hatchback,Manual,AWD,5 stars
Ford,Mustang,2021, 2683623 ,Gasoline,413,419,23,Coupe,Manual,AWD,5 stars
Ford,Mustang,2020, 2983244 ,Gasoline,447,420,21.2,Hatchback,Manual,AWD,5 stars
Ford,Mustang,2023, 2232565 ,Gasoline,477,386,24.1,Truck,Manual,FWD,5 stars
Ford,Mustang,2020, 3071222 ,Gasoline,493,418,22.6,SUV,Manual,FWD,5 stars
Ford,Mustang,2016, 2458992 ,Gasoline,415,377,23.1,Sedan,Manual,AWD,5 stars
Ford,Mustang,2017, 2372327 ,Gasoline,464,376,20.1,Coupe,Automatic,AWD,5 stars
Ford,Mustang,2018, 3097941 ,Gasoline,475,396,24,Coupe,Manual,RWD,5 stars
Ford,Mustang,2017, 2318406 ,Gasoline,463,413,20.5,Truck,Manual,AWD,5 stars
Ford,Mustang,2017, 2882479 ,Gasoline,436,434,22.3,Coupe,Automatic,FWD,5 stars
Ford,Mustang,2022, 2464963 ,Gasoline,451,439,21.8,Truck,Manual,FWD,5 stars
Ford,Mustang,2022, 231311 ,Gasoline,470,403,22.6,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2019, 2522842 ,Gasoline,418,429,22.2,Coupe,Manual,FWD,5 stars
Ford,Mustang,2017, 2544502 ,Gasoline,486,423,24.2,Truck,Automatic,AWD,5 stars
Ford,Mustang,2017, 2164448 ,Gasoline,490,384,23.8,Sedan,Manual,RWD,5 stars
Ford,Mustang,2021, 21631 ,Gasoline,474,398,23,Hatchback,Automatic,RWD,5 stars
Ford,Mustang,2016, 312809 ,Gasoline,462,372,21.1,Hatchback,Manual,AWD,5 stars
Ford,Mustang,2017, 2274126 ,Gasoline,474,442,22.9,SUV,Manual,FWD,5 stars
Ford,Mustang,2021, 2708581 ,Gasoline,429,376,21.9,Truck,Manual,RWD,5 stars
Ford,Mustang,2015, 2168921 ,Gasoline,482,406,21.9,Coupe,Manual,RWD,5 stars
Ford,Mustang,2017, 2395597 ,Gasoline,483,423,23,Truck,Manual,RWD,5 stars
Ford,Mustang,2016, 2252716 ,Gasoline,428,379,23.1,SUV,Manual,RWD,5 stars
Ford,Mustang,2021, 3049109 ,Gasoline,440,447,22,Truck,Automatic,FWD,5 stars
Ford,Mustang,2017, 2983764 ,Gasoline,478,408,24.1,Coupe,Manual,FWD,5 stars
Ford,Mustang,2016, 2462283 ,Gasoline,441,400,22.5,Sedan,Manual,AWD,5 stars
Ford,Mustang,2016, 296756 ,Gasoline,479,375,20.7,Truck,Automatic,RWD,5 stars
Ford,Mustang,2016, 2899291 ,Gasoline,441,449,21.4,Truck,Manual,RWD,5 stars
Ford,Mustang,2019, 2486291 ,Gasoline,407,375,24.1,SUV,Automatic,AWD,5 stars
Ford,Mustang,2018, 2454764 ,Gasoline,418,383,21.9,Sedan,Automatic,AWD,5 stars
Ford,Mustang,2016, 3152849 ,Gasoline,411,390,22.2,Sedan,Manual,AWD,5 stars
Ford,Mustang,2016, 2287644 ,Gasoline,470,381,21.8,Truck,Manual,FWD,5 stars
Ford,Mustang,2018, 2428907 ,Gasoline,460,401,21,Hatchback,Manual,AWD,5 stars
Ford,Mustang,2015, 2378945 ,Gasoline,445,428,22.9,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2023, 2725744 ,Gasoline,466,419,20.9,Coupe,Automatic,RWD,5 stars
Ford,Mustang,2023, 2752578 ,Gasoline,408,426,22.3,Sedan,Automatic,FWD,5 stars
Ford,Mustang,2016, 3104835 ,Gasoline,415,449,22.1,Hatchback,Manual,RWD,5 stars
Ford,Mustang,2015, 2524272 ,Gasoline,424,450,22,Coupe,Automatic,RWD,5 stars
Ford,Mustang,2020, 3081485 ,Gasoline,447,382,21.3,SUV,Manual,AWD,5 stars
Ford,Mustang,2020, 2785269 ,Gasoline,444,373,21,Truck,Automatic,RWD,5 stars
Ford,Mustang,2021, 2406301 ,Gasoline,450,420,21.2,Sedan,Manual,FWD,5 stars
Ford,Mustang,2021, 2426145 ,Gasoline,438,445,22.8,Truck,Manual,AWD,5 stars
Ford,Mustang,2018, 3043785 ,Gasoline,465,408,21.7,Coupe,Automatic,AWD,5 stars
Ford,Mustang,2020, 3114873 ,Gasoline,446,373,22,Sedan,Automatic,FWD,5 stars
Ford,Mustang,2023, 3103205 ,Gasoline,412,385,24,Sedan,Manual,FWD,5 stars
Ford,Mustang,2017, 304177 ,Gasoline,440,437,23.1,Truck,Automatic,AWD,5 stars
Ford,Mustang,2019, 2681994 ,Gasoline,483,412,20.4,Coupe,Manual,FWD,5 stars
Ford,Mustang,2020, 2595681 ,Gasoline,419,432,19.9,Sedan,Manual,AWD,5 stars
Ford,Mustang,2022, 2567052 ,Gasoline,414,435,22.6,Coupe,Manual,AWD,5 stars
Ford,Mustang,2020, 3108307 ,Gasoline,445,375,21,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2023, 2853124 ,Gasoline,462,427,19.9,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2019, 2584075 ,Gasoline,455,419,22.4,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2016, 3133874 ,Gasoline,443,437,24.1,Truck,Manual,FWD,5 stars
Ford,Mustang,2020, 229349 ,Gasoline,453,370,23.3,SUV,Manual,FWD,5 stars
Ford,Mustang,2016, 2732667 ,Gasoline,412,428,22.6,Truck,Manual,RWD,5 stars
Ford,Mustang,2020, 3198929 ,Gasoline,406,414,21.9,SUV,Manual,FWD,5 stars
Ford,Mustang,2020, 307334 ,Gasoline,406,420,19.9,SUV,Automatic,RWD,5 stars
Ford,Mustang,2017, 2292759 ,Gasoline,435,402,20.5,Coupe,Manual,AWD,5 stars
Ford,Mustang,2020, 2978299 ,Gasoline,434,422,23.2,Hatchback,Manual,AWD,5 stars
Ford,Mustang,2022, 2220766 ,Gasoline,431,395,23.8,Truck,Manual,RWD,5 stars
Ford,Mustang,2022, 3223881 ,Gasoline,485,406,20.2,SUV,Manual,AWD,5 stars
Ford,Mustang,2023, 231301 ,Gasoline,482,395,21.8,Sedan,Manual,FWD,5 stars
Ford,Mustang,2023, 2383319 ,Gasoline,482,414,21.8,Truck,Automatic,FWD,5 stars
Ford,Mustang,2023, 2282335 ,Gasoline,417,378,21.9,Sedan,Automatic,RWD,5 stars
Ford,Mustang,2022, 2160987 ,Gasoline,453,434,23.8,Truck,Manual,RWD,5 stars
Ford,Mustang,2016, 2560987 ,Gasoline,437,395,22.1,Truck,Automatic,AWD,5 stars
Ford,Mustang,2021, 2731711 ,Gasoline,439,423,23,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2019, 236726 ,Gasoline,490,407,20,Truck,Automatic,FWD,5 stars
Ford,Mustang,2015, 2881536 ,Gasoline,476,403,20.9,Hatchback,Manual,RWD,5 stars
Ford,Mustang,2020, 2969205 ,Gasoline,411,435,20.7,Coupe,Automatic,FWD,5 stars
Ford,Mustang,2016, 2406424 ,Gasoline,465,396,20.1,Hatchback,Manual,FWD,5 stars
Ford,Mustang,2023, 2755604 ,Gasoline,477,402,22.8,SUV,Automatic,AWD,5 stars
Ford,Mustang,2018, 2681445 ,Gasoline,452,409,22.6,Truck,Manual,AWD,5 stars
Ford,Mustang,2019, 2509289 ,Gasoline,449,436,20.7,SUV,Manual,FWD,5 stars
Ford,Mustang,2020, 2261484 ,Gasoline,433,370,23.8,Coupe,Manual,FWD,5 stars
Ford,Mustang,2023, 232904 ,Gasoline,441,450,21.7,Sedan,Automatic,AWD,5 stars
Ford,Mustang,2018, 2397592 ,Gasoline,450,372,24,SUV,Manual,RWD,5 stars
Ford,Mustang,2017, 2745963 ,Gasoline,430,442,20.4,SUV,Automatic,RWD,5 stars
Ford,Mustang,2015, 2168042 ,Gasoline,444,448,24,Sedan,Automatic,FWD,5 stars
Ford,Mustang,2019, 3033862 ,Gasoline,448,405,23.4,Sedan,Manual,RWD,5 stars
Ford,Mustang,2020, 2655583 ,Gasoline,408,397,22.4,Coupe,Manual,FWD,5 stars
Ford,Mustang,2019, 2299643 ,Gasoline,492,391,23.1,Truck,Manual,FWD,5 stars
Ford,Mustang,2017, 2282748 ,Gasoline,412,369,20.3,Coupe,Automatic,AWD,5 stars
Honda,Civic,2017, 2246562 ,Gasoline,163,137,38.3,Sedan,Automatic,AWD,5 stars
Honda,Civic,2019, 2337307 ,Gasoline,142,141,33.3,Hatchback,Manual,RWD,5 stars
Honda,Civic,2017, 1799508 ,Gasoline,171,145,36.7,Truck,Manual,AWD,5 stars
Honda,Civic,2019, 1910732 ,Gasoline,144,127,38.3,Sedan,Manual,FWD,5 stars
Honda,Civic,2022, 1930539 ,Gasoline,144,131,34.9,SUV,Automatic,AWD,5 stars
Honda,Civic,2019, 2527287 ,Gasoline,146,128,33.5,Truck,Automatic,FWD,5 stars
Honda,Civic,2019, 1832534 ,Gasoline,162,136,32.7,Truck,Automatic,FWD,5 stars
Honda,Civic,2020, 1982325 ,Gasoline,169,137,39.3,Truck,Automatic,AWD,5 stars
Honda,Civic,2017, 1996615 ,Gasoline,145,148,32.7,Truck,Manual,RWD,5 stars
Honda,Civic,2017, 1796556 ,Gasoline,149,133,38.1,Truck,Manual,FWD,5 stars
Honda,Civic,2015, 1867416 ,Gasoline,159,144,34.5,Truck,Manual,FWD,5 stars
Honda,Civic,2022, 2109549 ,Gasoline,168,144,39.1,Truck,Manual,AWD,5 stars
Honda,Civic,2015, 1853026 ,Gasoline,164,141,34.3,Sedan,Manual,RWD,5 stars
Honda,Civic,2018, 2383496 ,Gasoline,154,125,36.4,Sedan,Automatic,RWD,5 stars
Honda,Civic,2022, 1794263 ,Gasoline,171,132,36,Hatchback,Automatic,FWD,5 stars
Honda,Civic,2022, 1831798 ,Gasoline,163,150,33.6,Hatchback,Automatic,RWD,5 stars
Honda,Civic,2015, 2203088 ,Gasoline,173,147,35,Truck,Automatic,FWD,5 stars
Honda,Civic,2020, 2040877 ,Gasoline,165,126,34.9,Truck,Manual,AWD,5 stars
Honda,Civic,2023, 1909112 ,Gasoline,162,141,35.7,SUV,Manual,AWD,5 stars
Honda,Civic,2018, 2301874 ,Gasoline,142,144,35.4,SUV,Manual,AWD,5 stars
Honda,Civic,2017, 1850852 ,Gasoline,159,147,35.7,SUV,Automatic,RWD,5 stars
Honda,Civic,2019, 241401 ,Gasoline,163,128,38.8,Truck,Manual,AWD,5 stars
Honda,Civic,2022, 2569691 ,Gasoline,145,125,39.2,Truck,Automatic,RWD,5 stars
Honda,Civic,2021, 2448237 ,Gasoline,167,147,39.3,Coupe,Manual,AWD,5 stars
Honda,Civic,2019, 1945266 ,Gasoline,142,141,34,Truck,Manual,RWD,5 stars
Honda,Civic,2017, 2172031 ,Gasoline,162,130,34.7,SUV,Automatic,AWD,5 stars
Honda,Civic,2022, 2154914 ,Gasoline,143,137,36.1,Sedan,Automatic,AWD,5 stars
Honda,Civic,2016, 1807672 ,Gasoline,160,134,33.5,Sedan,Manual,RWD,5 stars
Honda,Civic,2023, 2589389 ,Gasoline,162,134,36.4,Hatchback,Manual,AWD,5 stars
Honda,Civic,2020, 2303621 ,Gasoline,163,131,39.5,Truck,Automatic,AWD,5 stars
Honda,Civic,2019, 1764106 ,Gasoline,170,129,38.5,Sedan,Automatic,RWD,5 stars
Honda,Civic,2021, 1760902 ,Gasoline,157,144,36.2,Hatchback,Manual,RWD,5 stars
Honda,Civic,2019, 2224135 ,Gasoline,169,144,37.6,Sedan,Automatic,RWD,5 stars
Honda,Civic,2016, 2464183 ,Gasoline,145,142,39.2,Truck,Manual,AWD,5 stars
Honda,Civic,2016, 2554702 ,Gasoline,149,151,32.9,Coupe,Manual,RWD,5 stars
Honda,Civic,2022, 1909527 ,Gasoline,168,135,32.4,Hatchback,Manual,RWD,5 stars
Honda,Civic,2016, 1917671 ,Gasoline,173,130,37.7,Hatchback,Automatic,RWD,5 stars
Honda,Civic,2023, 2481913 ,Gasoline,166,139,39.4,Sedan,Automatic,AWD,5 stars
Honda,Civic,2021, 2330783 ,Gasoline,162,138,36.6,Sedan,Automatic,FWD,5 stars
Honda,Civic,2022, 2002804 ,Gasoline,151,146,34.2,Coupe,Automatic,AWD,5 stars
Honda,Civic,2022, 245692 ,Gasoline,164,138,39.1,Truck,Manual,RWD,5 stars
Honda,Civic,2015, 2232776 ,Gasoline,143,147,37,Sedan,Manual,FWD,5 stars
Honda,Civic,2020, 2374951 ,Gasoline,150,131,36.7,Truck,Automatic,FWD,5 stars
Honda,Civic,2022, 1855911 ,Gasoline,145,138,35.2,Coupe,Automatic,RWD,5 stars
Honda,Civic,2020, 1853689 ,Gasoline,154,125,38.4,Hatchback,Manual,AWD,5 stars
Honda,Civic,2018, 1789203 ,Gasoline,173,143,37.9,SUV,Manual,AWD,5 stars
Honda,Civic,2018, 2208671 ,Gasoline,142,134,39.6,Coupe,Automatic,FWD,5 stars
Honda,Civic,2021, 2589124 ,Gasoline,160,146,38.1,Coupe,Manual,FWD,5 stars
Honda,Civic,2015, 2081605 ,Gasoline,148,129,37.5,Truck,Automatic,FWD,5 stars
Honda,Civic,2018, 2301275 ,Gasoline,146,126,35,Hatchback,Manual,AWD,5 stars
Honda,Civic,2022, 210351 ,Gasoline,163,132,36.4,Coupe,Automatic,AWD,5 stars
Honda,Civic,2018, 2402993 ,Gasoline,159,129,39.2,SUV,Automatic,AWD,5 stars
Honda,Civic,2022, 2523097 ,Gasoline,162,128,32.4,Sedan,Automatic,FWD,5 stars
Honda,Civic,2019, 2363271 ,Gasoline,153,141,36.7,Hatchback,Automatic,AWD,5 stars
Honda,Civic,2015, 178027 ,Gasoline,163,127,39.3,Sedan,Automatic,AWD,5 stars
Honda,Civic,2015, 2523559 ,Gasoline,147,133,38.4,Truck,Automatic,RWD,5 stars
Honda,Civic,2022, 2592543 ,Gasoline,152,125,37.8,Truck,Manual,RWD,5 stars
Honda,Civic,2016, 2121868 ,Gasoline,169,145,33.6,Hatchback,Automatic,FWD,5 stars
Honda,Civic,2017, 1976763 ,Gasoline,163,128,32.5,Coupe,Automatic,AWD,5 stars
Honda,Civic,2022, 2519057 ,Gasoline,159,136,38.4,Truck,Automatic,AWD,5 stars
Honda,Civic,2016, 1869279 ,Gasoline,164,149,36.7,Coupe,Manual,AWD,5 stars
Honda,Civic,2016, 1896112 ,Gasoline,169,147,35.4,Coupe,Manual,FWD,5 stars
Honda,Civic,2019, 2065784 ,Gasoline,155,137,36.6,Sedan,Automatic,AWD,5 stars
Honda,Civic,2016, 2506967 ,Gasoline,173,131,36.6,SUV,Automatic,FWD,5 stars
Honda,Civic,2016, 2291496 ,Gasoline,172,135,35.6,Hatchback,Automatic,FWD,5 stars
Honda,Civic,2018, 242606 ,Gasoline,171,139,35.6,Sedan,Automatic,AWD,5 stars
Honda,Civic,2021, 194185 ,Gasoline,173,144,33.6,Truck,Manual,AWD,5 stars
Honda,Civic,2023, 2527601 ,Gasoline,146,126,37.9,Truck,Automatic,AWD,5 stars
Honda,Civic,2016, 1899921 ,Gasoline,168,136,34.3,Hatchback,Automatic,RWD,5 stars
Honda,Civic,2018, 1797529 ,Gasoline,154,145,35.9,Truck,Manual,RWD,5 stars
Honda,Civic,2020, 1825453 ,Gasoline,164,127,35.4,SUV,Automatic,RWD,5 stars
Honda,Civic,2023, 1813076 ,Gasoline,167,128,32.5,Hatchback,Manual,RWD,5 stars
Honda,Civic,2023, 2498317 ,Gasoline,168,129,36.7,Coupe,Automatic,RWD,5 stars
Honda,Civic,2016, 1883492 ,Gasoline,151,137,37.3,Hatchback,Manual,RWD,5 stars
Honda,Civic,2017, 2151556 ,Gasoline,158,139,38.2,Truck,Automatic,FWD,5 stars
Honda,Civic,2018, 225391 ,Gasoline,158,146,36.2,SUV,Manual,FWD,5 stars
Honda,Civic,2022, 2069636 ,Gasoline,169,133,32.8,SUV,Automatic,FWD,5 stars
Honda,Civic,2017, 2481168 ,Gasoline,161,133,37.9,SUV,Manual,FWD,5 stars
Honda,Civic,2017, 1777318 ,Gasoline,153,138,35.6,Truck,Automatic,RWD,5 stars
